stageId,unit,level,q,A,B,C,D,ans,exp
s1,8,中級,若食物鏈中某種污染物不易分解，且會在生物體內累積，最需要注意哪種現象？,水循環,蒸散作用,生物放大,自然選擇,C,難分解且容易累積的污染物可能沿食物鏈逐級提高濃度，形成生物放大。
s1,8,中級,DDT之所以容易造成長期環境問題，與下列哪項特性較有關？,容易快速分解,完全不進入生物體,只存在空氣中,持久性與生物累積,D,DDT具有持久性，且可在生物體內累積，並可能沿食物鏈發生生物放大。
s1,9,中級,下列哪一種疾病與鎘污染最具有代表性？,痛痛病,水俁病,烏腳病,氣喘,A,痛痛病與鎘污染有關，尤其與受污染食物及水源造成的慢性暴露有關。
s1,9,中級,下列哪一種疾病與砷污染最具有代表性？,痛痛病,烏腳病,水俁病,白內障,B,烏腳病是臺灣環境公害史上與砷污染密切相關的代表性疾病。
s1,9,中級,水俁病主要與哪一種污染物有關？,鎘,砷,有機汞,二氧化碳,C,水俁病是由有機汞污染造成的典型公害事件。
s2,1,中級,若產品的碳標籤標示較高的碳足跡數值，通常代表什麼？,產品一定不能回收,產品一定最便宜,產品完全沒有能源消耗,生命週期中溫室氣體排放較多,D,碳足跡用來揭露產品生命週期相關的溫室氣體排放量，數值較高通常代表排放較多。
s2,1,中級,「節能標章」最主要是讓消費者辨識哪一類產品？,較具能源效率的產品,含有最多包裝的產品,完全不能回收的產品,只適合戶外使用的產品,A,節能標章主要協助消費者辨識能源效率較佳的產品。
s2,2,中級,綠色水足跡主要與哪一種用水來源有關？,河川抽取水,雨水儲存在土壤中的水分,地下水抽取量,工業冷卻水,B,綠色水足跡主要指使用土壤中的雨水，尤其與農業作物生長有關。
s2,2,中級,藍色水足跡主要涉及哪一類水資源？,雨水直接留在土壤中的水,海水中的鹽分,地表水與地下水等淡水資源,大氣中的水蒸氣,C,藍色水足跡主要涉及河川、湖泊及地下水等地表水與地下水的消耗。
s2,2,中級,某工廠排放污染物，為使受納水體仍能符合水質標準，需要多少水量來稀釋污染物？這個概念與哪種水足跡有關？,綠色水足跡,藍色水足跡,白色水足跡,灰色水足跡,D,灰色水足跡反映將污染負荷稀釋至符合既定水質標準所需的水量。
s2,3,中級,下列哪一組氣體全部屬於京都議定書主要管制的溫室氣體？,CO2、CH4、N2O,O2、N2、H2,He、Ne、Ar,O2、CO、SO2,A,京都議定書主要溫室氣體包含二氧化碳、甲烷與氧化亞氮等六類。
s2,3,中級,若一種溫室氣體的GWP越高，在相同質量下代表什麼？,一定完全無害,相對暖化效應通常越強,一定在大氣中存在最久,一定不是溫室氣體,B,GWP是全球暖化潛勢，用來比較不同溫室氣體相對於二氧化碳的暖化效應。
s2,3,中級,下列哪一項屬於「調適」氣候變遷，而不是直接減少溫室氣體排放？,發展太陽能,減少燃煤發電,提高都市防洪能力,提高能源效率,C,調適是降低氣候變遷帶來的風險，例如改善防洪系統；其他選項主要屬於減緩排放。
s2,4,中高級,沿海城市因海平面上升而提高防洪堤，這項措施主要屬於哪一類？,溫室氣體減量,塑膠回收,臭氧層修復,氣候變遷調適,D,提高防洪能力是在面對海平面上升造成的風險，屬於氣候調適。
s2,4,中高級,若政府鼓勵大眾運輸、步行與自行車，最直接可同時達成哪兩項環境效益？,降低交通排放並節省能源,增加燃油使用並提高排放,增加都市熱島並減少綠地,提高一次性用品消耗,A,減少私人汽機車使用可降低燃料消耗與交通相關溫室氣體及空氣污染物排放。
s2,5,中高級,下列哪一項最符合「公正轉型」精神？,只考慮減碳速度，不管勞工影響,兼顧減碳與受影響勞工、社區的權益,停止所有產業發展,只補助高收入家庭,B,公正轉型強調在能源與產業轉型過程中兼顧勞工、社區及弱勢族群的權益。
s2,5,中高級,若燃煤電廠逐步退場，政府同時提供受影響勞工職能訓練，最符合哪一項理念？,生物放大,水足跡,公正轉型,臭氧破壞,C,轉型過程提供重新就業與技能培訓等支持，是公正轉型的重要精神。
s2,6,中高級,CCUS的主要目的為何？,增加塑膠產量,處理生活污水,監測噪音,捕捉、利用或封存二氧化碳,D,"CCUS指Carbon Capture, Utilization and Storage，即碳捕捉、利用與封存。"
s2,6,中高級,下列哪一項最可能屬於自然碳匯？,森林吸收並儲存二氧化碳,增加燃煤發電,大量砍伐森林,燃燒廢棄物,A,森林等自然生態系可以透過植物生長吸收並儲存碳，因此具有碳匯功能。
s2,7,中高級,若沿海紅樹林、海草床與鹽沼能吸收並儲存大量碳，這類碳通常稱為什麼？,黑碳,藍碳,灰碳,黃碳,B,海岸與海洋生態系所儲存的碳常稱為藍碳。
s2,7,中高級,若企業以循環經濟方式讓產品零件維修後再次使用，最主要是在實踐哪種理念？,增加一次性消費,提高廢棄物產生,延長產品生命並減少資源浪費,縮短產品使用時間,C,維修、再使用可延長產品壽命，降低原料與能源需求及廢棄物產生。
s2,8,中高級,下列哪一項最符合「能源轉型」方向？,增加對單一化石燃料依賴,鼓勵浪費電力,取消能源效率管理,提高再生能源比例,D,能源轉型包含提高再生能源及其他低碳能源比例、提升能源效率等方向。
s2,8,中高級,太陽光電與離岸風電都屬於哪一類能源？,再生能源,化石能源,核燃料,不可再生礦物燃料,A,太陽能與風能可以自然補充，屬於再生能源。
s2,9,中高級,依講義所列目標，2040年新售的機車與汽車主要朝哪個方向？,100%柴油化,100%電動化,100%燃煤化,完全禁止所有交通工具,B,講義列出的2040運具目標是新售汽機車朝100%電動化。
s2,9,中高級,若一個城市同時增加綠地、透水鋪面與遮蔭樹木，最可能帶來哪一項綜合效益？,增加地表逕流並升高熱島,增加化石燃料使用,降低熱島效應並改善雨水滯留,破壞都市生態,C,綠地、樹木與透水鋪面有助於降溫、增加雨水滲透與滯留，提升都市韌性。
s3,1,中高級,斯德哥爾摩公約的核心精神主要是管理哪一類物質？,一般生活垃圾,飲用水礦物質,再生能源,持久性有機污染物,D,斯德哥爾摩公約主要針對持久性有機污染物（POPs）進行國際管制。
s3,1,中高級,POPs能在遠距離傳輸，因此即使污染源不在某地，仍可能造成污染。這說明POPs具有哪項特性？,環境持久性與長距離傳輸能力,只能在污染源附近存在,遇水立即完全分解,完全不會進入生物體,A,POPs具有持久性、長距離傳輸及生物累積等特性，因此污染可能跨越國界。
s3,2,中高級,若國家希望在危險化學品進出口前取得進口國同意與資訊，最相關的是哪項國際制度？,拉姆薩公約,鹿特丹公約的PIC程序,CITES,京都議定書,B,鹿特丹公約的重要精神之一是事先知情同意（PIC），讓進出口國取得相關資訊並作出決定。
s3,2,中高級,卡達赫納生物安全議定書主要與哪一項議題相關？,臭氧層破壞,危險廢棄物跨境運輸,現代生物技術與活體改造生物的生物安全,濕地保育,C,卡達赫納議定書聚焦現代生物技術產生的活體改造生物之跨境移動與生物安全。
s3,3,中高級,若一國限制某些危險廢棄物跨境運送，最直接涉及哪項公約？,蒙特婁議定書,Ramsar公約,CITES,巴塞爾公約,D,巴塞爾公約主要規範有害廢棄物及其他廢棄物跨境移動與處置。
s3,3,中高級,若要防止瀕危野生動植物因國際貿易而遭過度捕捉，最相關的國際公約是？,CITES,京都議定書,斯德哥爾摩公約,巴塞爾公約,A,CITES規範瀕危野生動植物國際貿易，以避免貿易威脅物種存續。
s3,4,高級,某國家為保護重要水鳥棲息的天然濕地，最適合參考哪項國際公約？,CITES,拉姆薩公約,巴塞爾公約,蒙特婁議定書,B,拉姆薩公約以國際重要濕地及其生態功能保育為核心。
